Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC
Random Forest,0.9995962220427653,0.9411764705882353,0.8163265306122449,0.8743169398907104,0.9630272515590367,0.8733910547021404
Logistic Regression,0.9991397773954567,0.8266666666666667,0.6326530612244898,0.7167630057803468,0.9605494455801453,0.7413820992780461
