Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC
Final Tuned XGBoost,0.9995259997893332,0.8817204301075269,0.8367346938775511,0.8586387434554974,0.9682378578893572,0.8800038893818777
Random Forest,0.9995962220427652,0.9411764705882352,0.8163265306122449,0.8743169398907104,0.9630272515590368,0.8733910547021404
Logistic Regression,0.9991397773954568,0.8266666666666667,0.6326530612244898,0.7167630057803468,0.9605494455801452,0.7413820992780461
