Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC
Tuned XGBoost,0.9871317720585654,0.10947109471094711,0.9081632653061225,0.19538968166849616,0.977504238541224,0.7305289890609347
XGBoost (SMOTE),0.9991924440855307,0.7280701754385965,0.8469387755102041,0.7830188679245284,0.9799832109264639,0.8682821332846721
XGBoost (scale_pos_weight),0.9995259997893332,0.8817204301075269,0.8367346938775511,0.8586387434554974,0.9682378578893572,0.8800038893818777
Initial XGBoost,0.9994382219725431,0.8666666666666667,0.7959183673469388,0.8297872340425532,0.9389517272862999,0.7972912780329893
